day,Date,Deep work 4h,Journal,Meditation,"Progress ",Read 10p,Running 30min,Workout
"@September 14, 2024 ",,No,No,No,0%,No,No,No
"@March 11, 2024 ","March 10, 2024",Yes,Yes,Yes,100%,Yes,Yes,Yes
"@September 15, 2024 ",,No,No,No,0%,No,No,No
"@August 7, 2024 ",,No,No,No,0%,No,No,No
"@September 8, 2024 ",,No,No,No,0%,No,No,No
"@March 9, 2024 ","March 12, 2024",Yes,Yes,Yes,100%,Yes,Yes,Yes
"@March 15, 2024 ",,No,No,No,0%,No,No,No
"@September 2, 2024 ",,No,No,No,0%,No,No,No
"@September 16, 2024 ",,No,No,No,0%,No,No,No
"@September 29, 2024 ",,No,No,No,0%,No,No,No
"@September 23, 2024 ",,No,No,No,0%,No,No,No
"@September 21, 2024 ",,No,No,No,0%,No,No,No
"@September 27, 2024 ",,No,No,No,0%,No,No,No
"@September 25, 2024 ",,No,No,No,0%,No,No,No
"@September 19, 2024 ",,No,No,No,0%,No,No,No
"@September 28, 2024 ",,No,No,No,0%,No,No,No
"@September 20, 2024 ",,No,No,No,0%,No,No,No
"@September 24, 2024 ",,No,No,No,0%,No,No,No
"@September 22, 2024 ",,No,No,No,0%,No,No,No
"@September 17, 2024 ",,No,No,No,0%,No,No,No
"@September 26, 2024 ",,No,No,No,0%,No,No,No
"@September 18, 2024 ",,No,No,No,0%,No,No,No
"@October 4, 2024 ","October 4, 2024",Yes,Yes,Yes,100%,Yes,Yes,Yes
"@October 14, 2024 ",,No,No,No,0%,No,No,No
"@October 16, 2024 ",,No,No,No,0%,No,No,No
"@October 10, 2024 ",,No,No,No,0%,No,No,No
"@October 5, 2024 ","October 5, 2024",No,No,No,0%,No,No,No
"@October 6, 2024 ",,No,No,No,0%,No,No,No
"@October 15, 2024 ",,No,No,No,0%,No,No,No
"@September 30, 2024 ",,No,No,No,0%,No,No,No
"@October 9, 2024 ",,No,No,No,0%,No,No,No
"@October 1, 2024 ",,No,No,No,0%,No,No,No
"@October 7, 2024 ",,No,No,No,0%,No,No,No
"@October 13, 2024 ",,No,No,No,0%,No,No,No
"@October 8, 2024 ",,No,No,No,0%,No,No,No
"@October 11, 2024 ",,No,No,No,0%,No,No,No
"@October 5, 2024 ",,No,No,No,0%,No,No,No
"@October 12, 2024 ",,No,No,No,0%,No,No,No
"@October 2, 2024 ",,No,No,No,0%,No,No,No
"@October 18, 2024 ",,No,No,No,0%,No,No,No
"@October 21, 2024 ",,No,No,No,0%,No,No,No
"@October 23, 2024 ",,No,No,No,0%,No,No,No
"@October 27, 2024 ",,No,No,No,0%,No,No,No
"@October 22, 2024 ",,No,No,No,0%,No,No,No
"@November 1, 2024 ",,No,No,No,0%,No,No,No
"@October 24, 2024 ",,No,No,No,0%,No,No,No
"@October 25, 2024 ",,No,No,No,0%,No,No,No
"@October 29, 2024 ",,No,No,No,0%,No,No,No
"@October 26, 2024 ",,No,No,No,0%,No,No,No
"@October 28, 2024 ",,No,No,No,0%,No,No,No
"@October 20, 2024 ",,No,No,No,0%,No,No,No
"@October 19, 2024 ",,No,No,No,0%,No,No,No
"@October 17, 2024 ",,No,No,No,0%,No,No,No
